track_name,artist_name,album,played_at,duration_ms,track_id,release_date,genres,duration_min
Let You Down,NF,Perception,2025-05-10 22:16:05.634000+00:00,212120,52okn5MNA47tk87PeZJLEL,2017-10-06,christian hip hop,3.5353333333333334
Live Your Life,T.I.,Paper Trail,2025-05-10 21:15:06.870000+00:00,338853,3jlbL2OTD5YmIunYzgQTAN,2008-09-07,southern hip hop,5.64755
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2025-05-10 21:09:27.742000+00:00,190557,2cYqizR4lgvp4Qu6IQ3qGN,2018-08-03,rap,3.17595
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,2025-05-10 21:06:17.224000+00:00,165819,4VXIryQMWpIdGgYR4TrjT1,2018-12-10,"melodic rap, emo rap",2.76365
Young Dumb & Broke,Khalid,American Teen,2025-05-10 21:03:30.617000+00:00,202546,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,,3.375766666666667
Circles,Post Malone,Hollywood's Bleeding,2025-05-10 20:58:52.837000+00:00,215280,21jGcNKet2qwijlDFuPiPb,2019-09-06,,3.588
Mirror,Lil Wayne,Tha Carter IV (Complete Edition),2025-05-10 20:55:17.209000+00:00,228093,5hUYsaOyMY32yjRXeuQwGj,2011-08-29,"rap, hip hop",3.80155
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),2025-05-10 20:51:29.145000+00:00,229525,2JzZzZUQj3Qff7wapcbKjc,2015,rap,3.8254166666666665
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Grateful,2025-05-10 20:47:38.886000+00:00,288876,1jYiIOC5d6soxkJP81fxq2,2017-06-22,,4.8146
Dangerous,Kardinal Offishall,Not 4 Sale,2025-05-10 20:41:33.540000+00:00,246053,4NOZ35Dhucr6UlVyLOtktd,2008-01-01,,4.100883333333333
Smack That,Akon,Konvicted,2025-05-10 20:37:27.046000+00:00,212360,2kQuhkFX7uSVepCD3h29g5,2006-01-01,,3.5393333333333334
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2025-05-10 20:33:54.947000+00:00,232186,3GCdLUSnKSMJhs4Tj6CV3s,2018-02-09,"hip hop, west coast hip hop",3.8697666666666666
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,2025-05-10 20:30:02.032000+00:00,218146,0e7ipj03S05BNilyu5bRzt,2018-04-27,,3.6357666666666666
7 Years,Lukas Graham,Lukas Graham,2025-05-10 20:25:08.638000+00:00,237300,5kqIPrATaCc2LqxVWzQGbk,2016-04-01,,3.955
Ransom,Lil Tecca,We Love You Tecca,2025-05-10 20:21:11.069000+00:00,131240,1lOe9qE0vR9zwWQAOk6CoO,2019-08-30,"melodic rap, rap",2.187333333333333
Without Me,Halsey,Manic,2025-05-10 20:18:59.759000+00:00,201660,6FZDfxM3a3UCqtzo5pxSLZ,2020-01-17,,3.361
Talk (feat. Disclosure),Khalid,Free Spirit,2025-05-10 20:15:37.500000+00:00,197573,6TqXcAFInzjp0bODyvrWEq,2019-04-05,,3.292883333333333
Invincible,Pop Smoke,Meet The Woo 2,2025-05-10 20:11:52.400000+00:00,127546,792HwhrdO3ErRKL5yRe4Ge,2020-02-07,"brooklyn drill, drill, new york drill",2.125766666666667
Better Now,Post Malone,beerbongs & bentleys,2025-05-10 20:08:29.522000+00:00,231266,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,,3.854433333333333
Dilemma,Nelly,Nellyville,2025-05-10 20:03:35.608000+00:00,289160,0ARK753YaiJbpLUk7z5yIM,2002-06-25,,4.819333333333334
Heat Waves,Glass Animals,Dreamland,2025-05-10 19:20:22.279000+00:00,238805,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,,3.9800833333333334
In Da Club,50 Cent,Get Rich Or Die Tryin',2025-05-10 19:16:23.706000+00:00,193466,4RY96Asd9IefaL3X4LOLZ8,2003-02-06,east coast hip hop,3.2244333333333333
Lonely,Akon,Trouble Deluxe Edition,2025-05-10 19:13:09.442000+00:00,235800,4v7DCN09hgXkKazefkznDQ,2005-01-01,,3.93
Love The Way You Lie,Eminem,Recovery,2025-05-10 19:07:57+00:00,263373,15JINEqzVMv3SvJTAXAKED,2010-06-18,"rap, hip hop",4.38955
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2025-05-10 19:03:33.468000+00:00,178205,5IZXB5IKAD2qlvTPJYDCFB,2024-08-15,,2.970083333333333
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2025-05-10 19:00:35.355000+00:00,239835,285pBltuF7vW8TeWk8hdRR,2018-12-10,"melodic rap, emo rap",3.99725
Taste (feat. Offset),Tyga,Legendary,2025-05-10 18:56:34.668000+00:00,229210,2toVe5hfuIi97ytDPDbQFt,2019-06-07,,3.8201666666666667
Mood (feat. iann dior),24kGoldn,El Dorado,2025-05-10 18:52:45.119000+00:00,140533,4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,,2.342216666666667
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,2025-05-10 18:49:08.358000+00:00,145542,78QR3Wp35dqAhFEc2qAGjE,2018-10-05,,2.4257
Right Now (Na Na Na),Akon,Freedom,2025-05-10 18:46:42.459000+00:00,240746,5Ravsw8TmHN5wBiYPPYUFw,2008-01-01,,4.012433333333333
Intentions (feat. Quavo),Justin Bieber,Changes,2025-05-10 18:42:41.786000+00:00,212866,4umIPjkehX1r7uhmGvXiSV,2020-02-14,,3.5477666666666665
Mockingbird,Eminem,Encore (Deluxe Version),2025-05-10 18:37:27.914000+00:00,250760,561jH07mF1jHuk7KlaeF0s,2004-11-12,"rap, hip hop",4.179333333333333
Gyal You a Party Animal,Charly Black,Gyal You a Party Animal,2025-05-01 18:19:47.115000+00:00,214455,6bOLRTULQUiXeVnxOIPZVA,2015,"dancehall, soca",3.57425
Second Sermon - Remix,Black Sherif,The Villain I Never Was,2025-05-01 15:28:56.433000+00:00,194863,4DdaGKeVkjQbPHzpoHGafk,2022-10-05,"asakaa, hiplife, afrobeats, afrobeat, afropop, afropiano, afro adura",3.247716666666667
Vibration,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:26:01.051000+00:00,198461,7u0z6FcJDqkZwdpqAqUzmO,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.3076833333333333
Cough (Odo),Kizz Daniel,Maverick,2025-05-01 14:22:42.310000+00:00,176195,3nT2nrfb3FMLg03W4mPaBl,2023-07-27,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.9365833333333335
Loading,Olamide,Carpe Diem,2025-05-01 14:18:30.001000+00:00,194000,558ULLj8yY2vT8XGtgY0q9,2020-10-07,"afrobeats, afrobeat, afropop, afropiano, azonto, afro adura, afroswing, amapiano",3.2333333333333334
"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",AKA,Levels (Explicit),2025-05-01 14:15:15.870000+00:00,258105,6oAWlzrEbXFis7Z0kyeX0h,2014-07-07,afropop,4.30175
In Fact (feat. Gabzy),melvitto,THENIGHTISYOUNG.,2025-05-01 14:10:57.961000+00:00,225179,2rFPUq8a7gvO0IuaN9LpV7,2019-02-22,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul",3.7529833333333333
Always (feat. Black Sherif),Darkoo,Always (feat. Black Sherif),2025-05-01 14:07:12.102000+00:00,154957,2koM4vqlpUzeRbNkjsDBwF,2022-02-24,"afrobeats, afroswing, uk drill, afrobeat",2.5826166666666666
Kwaku The Traveller,Black Sherif,The Villain I Never Was,2025-05-01 14:04:37.046000+00:00,185364,2LqvzGaZniHiZ9CXhzkclD,2022-10-05,"asakaa, hiplife, afrobeats, afrobeat, afropop, afropiano, afro adura",3.0894
Like I Do,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:00:15.418000+00:00,232800,3B5slaBuBK0BsuNw570pmx,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.88
Lie,Kizz Daniel,Barnabas,2025-05-01 13:56:22.714000+00:00,156600,03DxO8kGNrEGr1VjPSdQs2,2021-11-18,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.61
Again,Wande Coal,Realms,2025-05-01 13:53:45.490000+00:00,156083,6qk3jI8bKCgURI3h0d8zBZ,2020-09-10,"afrobeats, afrobeat, afropop, azonto, afropiano, afroswing, alté, hiplife",2.601383333333333
Girlfriend,Ruger,The Second Wave (Deluxe),2025-05-01 13:51:09.248000+00:00,196800,57jUCJelGAISFxuea34lrr,2022-06-17,"afrobeats, afrobeat, afropop, afropiano, afroswing, afro soul",3.28
Trouble,melvitto,Trouble,2025-05-01 13:47:52.246000+00:00,223517,5yplb3035SZqG3E6TArvGK,2020-08-17,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul",3.7252833333333335
Juicy,Darkoo,Juicy,2025-05-01 13:42:56.452000+00:00,197893,3Gs3xtwTh4E0TsnSbKVGaP,2020-03-05,"afrobeats, afroswing, uk drill, afrobeat",3.298216666666667
Mama Stay,WSTRN,WSTRN Season 3,2025-05-01 13:39:38.719000+00:00,190210,1QyjxL3C1jhP21s4X1I9jw,2022-09-08,"afroswing, afrobeats, dancehall",3.170166666666667
Peru - Remix,Fireboy DML,Peru (Remix),2025-05-01 13:36:27.844000+00:00,186952,7voSun33hCNkIrjxaj3g47,2022-02-11,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.115866666666667
Finesse,Pheelz,Finesse,2025-05-01 13:33:20.743000+00:00,155293,4Gasn91fsCefnN8zM5GjA8,2022-03-03,"afrobeats, afrobeat, afropop, afropiano",2.588216666666667
